"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_UV_RESPONSE_UP",0.67032967032967,0.901237651237651,0.0319980480340634,0.397289664805083,0.964392499394817,59,"MGAT1;SQSTM1;AMD1;STK25;RAB27A;POLE3;EIF5;E2F5;GLS;BTG2;SLC25A4;LYN;DNAJA1;BTG1;ARRB2;AGO2;TST;TMBIM6;TGFBRAP1;STIP1;SHOX2;SELENOW;POLG2;ONECUT1;NXF1;NUP58;IL6ST;H2AX;GGH;FKBP4;FEN1;DLG4;CLTB;CLCN2;CEBPG;CCND3;CASP3;BSG;ATP6V1C1;ASNS;AP2S1;ALDOA;ALAS1"
"HALLMARK_PROTEIN_SECRETION",0.69030969030969,0.901237651237651,0.0305608138615649,0.402127367156021,0.947947466395254,39,"MAPK1;IGF2R;GNAS;VPS4B;PAM;ADAM10;VAMP4;USO1;TPD52;TMED2;SEC31A;RPS6KA3;RER1;RAB14;NAPG;MON2;M6PR;KIF1B;GOLGA4;DNM1L;CLTC;CLCN3;ATP1A1;ARFGEF1;ARF1;AP3B1;AP2S1"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.688311688311688,0.901237651237651,0.0307037368093842,0.426568014550485,0.893656204818724,12,"PTCH1"
"HALLMARK_HEME_METABOLISM",0.773226773226773,0.956359430043641,0.0247086313801197,0.393227351922383,0.952814696719265,58,"NR3C1;PPOX;YPEL5;SLC2A1;MXI1;FBXO34;DCAF11;SEC14L1;EIF2AK1;BTG2;TCEA1;PPP2R5B;KAT2B;HTRA2;E2F2;CTSB;BACH1;ANK1;USP15;UCP2;TRAK2;TNRC6B"
"HALLMARK_COAGULATION",0.762237762237762,0.956359430043641,0.0254820564855004,0.408401370924803,0.89860361566862,18,"ANG;GNB2;CTSB;WDR1;MAFF;GSN;FYN"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.818181818181818,0.969030969030969,0.0215076161724576,0.390893359256936,0.954641836240556,66,"SDHA;GPX4;GLUD1;ATP6V0C;SLC25A4;HTRA2;ATP5F1D;TIMM8B;TIMM13;SLC25A11;RHOT2;RHOT1;RETSAT;PHB2;PDP1;OXA1L;OGDH;OAT;NQO2;NDUFV2;NDUFS8;NDUFS7;NDUFS6;NDUFB6;NDUFB5;NDUFB1;NDUFAB1;NDUFA9;NDUFA6;NDUFA4;NDUFA2;NDUFA1;MRPS15;MDH1;IDH3B;IDH1;ETFDH;ETFA;ECI1;DLAT;COX6C;COX5A;COX4I1;CASP7;ATP6V1C1;ATP5MC1;ATP5F1B;ATP1B1;ALAS1;ACAA2"
"HALLMARK_APOPTOSIS",0.828171828171828,0.969030969030969,0.0207818350435559,0.391118788565593,0.950648433463029,60,"SQSTM1;WEE1;IGF2R;GPX4;BTG2;SPTAN1;SLC20A1;PSEN1;PPP3R1;PPP2R5B;DNAJA1;DAP;TGFBR3;RHOT2;RETSAT;RELA;RARA;MADD;IFNGR1;HMGB2;GSN;ETF1;DNM1L;DIABLO;CYLD;CTNNB1;CASP7;CASP3;CASP2;BIRC3;BCL2L1"
"HALLMARK_ADIPOGENESIS",0.892107892107892,0.969030969030969,0.0158662282151999,0.38887482876845,0.949712170370308,66,"GPX4;CCNG2;PEX14;ESYT1;UBC;TOB1;TKT;SLC1A5;RTN3;REEP5;PPP1R15B;PGM1;HADH;APLP2;ADIPOR2;UCP2;UCK1;UBQLN1;TST;SORBS1;RETSAT;PTCD3;PLIN2;PEMT;NDUFAB1;NABP1;MIGA2;LPCAT3;JAGN1;IFNGR1;IDH1;GPAT4;DNAJB9;DLAT;DHRS7;DHCR7;CHCHD10;ATL2;ALDOA;ACOX1;ACADS;ACAA2"
"HALLMARK_FATTY_ACID_METABOLISM",0.91008991008991,0.969030969030969,0.0143399359768684,0.389143945719119,0.929633530062794,47,"SDHA;METAP1;H2AZ1;ACAT2;TP53INP2;RDH11;HSDL2;HADH;GRHPR;ERP29;ADIPOR2;UGDH;SUCLG2;RETSAT;PRDX6;ODC1;NTHL1;MDH1;IDI1;IDH3B;IDH1;ETFDH;ENO3;ECI1;DHCR24;ALDOA;ALAD;ACSL4;ACOX1;ACADS;ACAA2"
"HALLMARK_ALLOGRAFT_REJECTION",0.968031968031968,0.969030969030969,0.00829069833204511,0.386595403636209,0.923545268381962,47,"ICOSLG;TGFB1;ST8SIA4;RPL39;LYN;CSK;CDKN2A;BCL3;WARS1;UBE2D1;TRAF2;TPD52;RPS3A;RIPK2;PSMB10;PRKCB;MRPL3;IRF8;IRF7;INHBB;IL4R;IL12RB1;IFNGR1;HIF1A;EIF4G3;EIF3J;DEGS1;DARS1;CCND3;APBB1;AARS1"
"HALLMARK_XENOBIOTIC_METABOLISM",0.904095904095904,0.969030969030969,0.0148592627836833,0.390376355341005,0.92024643734964,39,"SLC6A6;SLC1A5;UGDH;TMBIM6;TKFC;SSR3;SERTAD1;RETSAT;PTGES3;PSMB10;PEMT;PAPSS2;NFS1;JUP;IRF8;IDH1;GART;ETFDH;DHRS7;CSAD;CROT;ARPP19;AP4B1;ALAS1;AHCY;ADH5;ACOX1"
"HALLMARK_PEROXISOME",0.955044955044955,0.969030969030969,0.00989821417740655,0.387534075102284,0.91918995262676,42,"ITGB1BP1;IDE;PEX14;VPS4B;SLC25A4;RDH11;MSH2;HRAS;SMARCC1;SIAH1;RETSAT;PRDX5;PEX6;PEX2;NUDT19;IDI1;IDH1;GNPAT;ERCC3;DLG4;DHCR24;CTPS1;CNBP;ACSL4;ACOX1;ABCD3;ABCD1"
"HALLMARK_KRAS_SIGNALING_UP",0.924075924075924,0.969030969030969,0.0130773356900516,0.389257606758179,0.917609176194987,39,"CXCR4;NIN;TRIB2;RBM4;MTMR10;CBR4;YRDC;MAP3K1;MAFB;JUP;IRF8;HBEGF;FUCA1;ERO1A;DOCK2;CROT;BIRC3;ADGRA2;ADAM17"
"HALLMARK_BILE_ACID_METABOLISM",0.969030969030969,0.969030969030969,0.00815591848796014,0.387707042708096,0.88961262512335,28,"TFCP2L1;SOAT2;SLC29A1;RETSAT;PRDX5;PFKM;PEX6;PEX1;OPTN;NR3C2;IDI1;IDH1;GNPAT;DHCR24;CROT;BCAR3;AMACR;ABCD3;ABCD1"
